Using workers=8 (SLURM_CPUS_PER_TASK=18)
Total granules found: 840
Submitting 840 granules to the pool...
[322/840] [325] HLS.S30.T11TKF.2021149T184921.v2.0: wrote 8 files
[323/840] [326] HLS.S30.T10TGL.2021149T184921.v2.0: wrote 8 files
[324/840] [322] HLS.S30.T11TKG.2021149T184921.v2.0: wrote 8 files
[325/840] [320] HLS.L30.T10TDM.2021149T190245.v2.0: wrote 8 files
[326/840] [327] HLS.S30.T10TFL.2021149T184921.v2.0: wrote 8 files
[327/840] [328] HLS.S30.T10TEL.2021149T184921.v2.0: wrote 8 files
[328/840] [330] HLS.S30.T10TCM.2021150T190919.v2.0: wrote 8 files
[329/840] [331] HLS.S30.T10TDL.2021150T190919.v2.0: wrote 8 files
[330/840] [332] HLS.S30.T10TCL.2021150T190919.v2.0: wrote 8 files
[331/840] [323] HLS.S30.T10TFM.2021149T184921.v2.0: wrote 8 files
[332/840] [324] HLS.S30.T10TEM.2021149T184921.v2.0: wrote 8 files
[333/840] [336] HLS.L30.T10TFL.2021151T185048.v2.0: wrote 8 files
[334/840] [337] HLS.L30.T10TEL.2021151T185048.v2.0: wrote 8 files
[335/840] [329] HLS.S30.T10TDM.2021150T190919.v2.0: wrote 8 files
